Timestamp,Y Value,Y Quality,F3 Value,F3 Quality,F4 Value,F4 Quality,P7 Value,P7 Quality,FC6 Value,FC6 Quality,F7 Value,F7 Quality,F8 Value,F8 Quality,T7 Value,T7 Quality,P8 Value,P8 Quality,FC5 Value,FC5 Quality,AF4 Value,AF4 Quality,Unknown Value,Unknown Quality,T8 Value,T8 Quality,X Value,X Quality,O2 Value,O2 Quality,O1 Value,O1 Quality,AF3 Value,AF3 Quality
1387656265.628018,1,0,8067,0,8515,0,8347,0,8619,0,8674,0,7297,0,8998,0,9046,0,8349,0,8299,0,31,0,8984,0,-1,0,8577,0,7793,0,8048,0
1387656265.634421,1,0,8067,0,8515,0,8347,0,8619,0,8674,0,7297,0,8998,0,9046,0,8349,0,8299,0,31,0,8984,0,-1,0,8577,0,7793,0,8048,0
1387656265.642286,1,0,8070,0,8523,0,8342,0,8620,0,8670,0,7309,0,8993,0,9048,0,8346,0,8308,0,32,0,8984,0,-1,0,8588,0,7785,0,8048,0
1387656265.650286,1,0,8057,0,8514,0,8351,0,8618,0,8671,0,7302,0,8999,0,9045,0,8345,0,8304,0,33,0,8991,0,-1,0,8580,0,7796,0,8048,0
1387656265.658285,1,0,8063,0,8514,0,8341,0,8625,0,8673,0,7311,0,8998,0,9048,0,8343,0,8317,0,34,0,8989,0,-1,0,8577,0,7787,0,8045,0
1387656265.666291,1,0,8065,0,8513,0,8348,0,8622,0,8676,0,7303,0,8997,0,9044,0,8347,0,8297,0,35,0,8982,0,-1,0,8578,0,7794,0,8049,0
1387656265.674291,1,0,8061,0,8517,0,8350,0,8617,0,8673,0,7308,0,8995,0,9043,0,8345,0,8303,0,36,0,8989,0,-1,0,8589,0,7787,0,8055,0
1387656265.681282,1,0,8060,0,8514,0,8346,0,8616,0,8674,0,7304,0,9001,0,9046,0,8344,0,8306,0,37,0,8992,0,-1,0,8584,0,7789,0,8053,0
1387656265.689281,1,0,8068,0,8515,0,8341,0,8624,0,8675,0,7306,0,8999,0,9047,0,8345,0,8299,0,38,0,8988,0,-1,0,8582,0,7787,0,8049,0
1387656265.697281,1,0,8067,0,8513,0,8343,0,8627,0,8673,0,7313,0,8994,0,9042,0,8346,0,8298,0,39,0,8987,0,-1,0,8585,0,7790,0,8050,0
1387656265.705282,1,0,8064,0,8516,0,8345,0,8624,0,8673,0,7309,0,8994,0,9043,0,8347,0,8299,0,40,0,8986,0,-1,0,8582,0,7792,0,8048,0
1387656265.713282,1,0,8067,0,8521,0,8347,0,8624,0,8674,0,7311,0,8996,0,9049,0,8345,0,8305,0,41,0,8982,0,-1,0,8583,0,7784,0,8045,0
1387656265.72028,1,0,8063,0,8517,0,8350,0,8622,0,8674,0,7300,0,8999,0,9044,0,8344,0,8297,0,42,0,8984,0,-1,0,8572,0,7791,0,8048,0
1387656265.728281,1,0,8064,0,8521,0,8340,0,8621,0,8673,0,7310,0,8997,0,9046,0,8340,0,8307,0,43,0,8993,0,-1,0,8579,0,7788,0,8053,0
1387656265.736283,1,0,8062,0,8516,0,8348,0,8616,0,8675,0,7306,0,8997,0,9048,0,8345,0,8296,0,44,0,8995,0,-1,0,8585,0,7797,0,8053,0
